video_id,title,description,views,likes,comments,engagement
_jxLIKW9dQk,We told Blacks to wait your turn! After 1.2 Billion gone #chicago #cityofchicago #politics,,1457,70,11,0.055594
hi9MmOTlWGo,Are you really in business? #business #taxdeductions #taxes #credit #cashflow #income #entrepreneur,,995,46,7,0.053266
GK6JhMq6vSQ,Self Prepared is No Liability #patricelstewart #business #taxdeductions #tax #taxpreparation #taxes,,1945,199,12,0.108483
26JhrkttRwY,Tax Time let's talk do's and don'ts,"Work with Patrice 
plstewart.info/bookme

#taxdeductions #business #realestate #chicago #taxes #credit #entrepreneur #tax #taxtips #taxtipsandtricks #taxrefunds #taxreporting #taxtips2026 #w2s #1099 #selfemployed #entrepreneurship #taxwriteoffs #taxwriteoff #taxplanning #taxwithholding #realestateinvesting #1099k #taxhelp #irs #smallbusiness #schedule1 #schedulec #llc #partnership #scorporation #corporate #taxcredits #bigbeautifulbill #bbb #trump #trending #financeeducation #financialfreedom #financialliteracy #finance #mindset",152,18,0,0.118421
geilOn3K8ks,PATRICE L. STEWART is live!,,393,31,7,0.096692
maZLr_qFnuM,Vision Boards are DEAD! Action Board or Fail in 2026 😱 (Free Workshop TOMORROW) #patricelstewart,,519,91,3,0.181118
0P2PYQhmnEU,See you on Dec.27 @1pm CST!!   #patricelstewart #business  #chicago,,268,36,1,0.13806
gwE_NQhSfAE,The PROFIT & LOSS STATEMENT: all the basics in 5 MINS! #patricelstewart,"Hey! This video provides a clear visual guide to your `profit and loss statement`, a crucial component of your `financial statements`. Understanding this document is vital for effective `accounting` and accurate `business tax preparation`. It's especially important when preparing your annual `tax return`, helping you manage your finances with confidence. 😊",73,10,3,0.178082
HRzNQQZ3998,Top 3 Mistakes New Entrepreneurs Make (and How to Avoid Them!)  #patricelstewart,Hey! This video provides crucial `entrepreneur advice` by highlighting `common mistakes in business` that often lead to new ventures struggling. It stresses the importance of a clear `vision for business` and the need for `independent thought` to avoid issues that explain `why entrepreneurs fail`. Stay informed to build a stronger foundation for your business! 😊,414,62,2,0.154589
UPE_dDeiHDY,The Spending Pattern Nobody Wants to See #patricelstewart  #moneytalk #truth,"Hey! This video offers practical `personal finance` tips, emphasizing `money management` by reviewing your bank statements line by line. This process is crucial for effective `budgeting` and can lead to significant `saving money` by increasing your `financial awareness`. Take control of your finances today! 😊",253,33,0,0.130435
fYJ8PQ9IN-s,Make Over $150K? Don’t Let These Tax Deductions Slip Away!  #patricelstewart #tax,"Hey! This video breaks down how `income tax` deductions are affected by your adjusted gross income, specifically focusing on `AGI` thresholds. It's crucial for `understanding your deductions` to navigate how these phase-outs impact your `taxable income`. This information is vital for effective `tax planning` to ensure you're well-informed about your financial picture. 😊",261,25,1,0.099617
x9hEVK8HWwQ,"Tips Tax-Free Up to $25,000?! Avoid IRS Traps  #patricelstewart #taxdeductions","Hey! This video explains the new `no tax on tips bill`, allowing tips up to $25,000 to be `tax free` for workers. This is great news for `uber driver` and `lyft driver`s, as it directly impacts their `self employment taxes`. Remember to keep your paperwork in order to benefit from this change! 😊",217,17,0,0.078341
